age,sex,area,region,year,count
15-17,Female,Rural,West,1991,68817
2-4,Male,Rural,West,1991,59527
5-9,Male,Rural,West,1991,102961
10-14,Male,Rural,West,1991,120426
15-17,Male,Rural,West,1991,66368
2-4,Female,Urban,West,1991,20399
5-9,Female,Urban,West,1991,41702
10-14,Female,Urban,West,1991,49141
15-17,Female,Urban,West,1991,24975
2-4,Male,Urban,West,1991,21219
5-9,Male,Urban,West,1991,42437
10-14,Male,Urban,West,1991,44464
15-17,Male,Urban,West,1991,24096
2-4,Female,Rural,Bangkok,1992,0
5-9,Female,Rural,Bangkok,1992,0
10-14,Female,Rural,Bangkok,1992,0
15-17,Female,Rural,Bangkok,1992,0
2-4,Male,Rural,Bangkok,1992,0
5-9,Male,Rural,Bangkok,1992,0
10-14,Male,Rural,Bangkok,1992,0
15-17,Male,Rural,Bangkok,1992,0
2-4,Female,Urban,Bangkok,1992,106812
5-9,Female,Urban,Bangkok,1992,192279
10-14,Female,Urban,Bangkok,1992,231375
15-17,Female,Urban,Bangkok,1992,185322
2-4,Male,Urban,Bangkok,1992,115313
5-9,Male,Urban,Bangkok,1992,205525
10-14,Male,Urban,Bangkok,1992,238938
15-17,Male,Urban,Bangkok,1992,165533
2-4,Female,Rural,Periphery,1992,33746
5-9,Female,Rural,Periphery,1992,65361
10-14,Female,Rural,Periphery,1992,71223
15-17,Female,Rural,Periphery,1992,46296
2-4,Male,Rural,Periphery,1992,34408
5-9,Male,Rural,Periphery,1992,66644
10-14,Male,Rural,Periphery,1992,73278
15-17,Male,Rural,Periphery,1992,41303
2-4,Female,Urban,Periphery,1992,29581
5-9,Female,Urban,Periphery,1992,49397
10-14,Female,Urban,Periphery,1992,55117
15-17,Female,Urban,Periphery,1992,40269
2-4,Male,Urban,Periphery,1992,29183
5-9,Male,Urban,Periphery,1992,54182
10-14,Male,Urban,Periphery,1992,61951
15-17,Male,Urban,Periphery,1992,36308
2-4,Female,Rural,Central,1992,45856
5-9,Female,Rural,Central,1992,92687
10-14,Female,Rural,Central,1992,95656
15-17,Female,Rural,Central,1992,54409
2-4,Male,Rural,Central,1992,47939
5-9,Male,Rural,Central,1992,89077
10-14,Male,Rural,Central,1992,98622
15-17,Male,Rural,Central,1992,54629
2-4,Female,Urban,Central,1992,14093
5-9,Female,Urban,Central,1992,25296
10-14,Female,Urban,Central,1992,27315
15-17,Female,Urban,Central,1992,16205
2-4,Male,Urban,Central,1992,14413
5-9,Male,Urban,Central,1992,26088
10-14,Male,Urban,Central,1992,27150
15-17,Male,Urban,Central,1992,17187
2-4,Female,Rural,North,1992,203562
5-9,Female,Rural,North,1992,384062
10-14,Female,Rural,North,1992,410933
15-17,Female,Rural,North,1992,239543
2-4,Male,Rural,North,1992,221931
5-9,Male,Rural,North,1992,400055
10-14,Male,Rural,North,1992,428496
15-17,Male,Rural,North,1992,251525
2-4,Female,Urban,North,1992,44266
5-9,Female,Urban,North,1992,82019
10-14,Female,Urban,North,1992,90361
15-17,Female,Urban,North,1992,56414
2-4,Male,Urban,North,1992,43796
5-9,Male,Urban,North,1992,83616
10-14,Male,Urban,North,1992,90785
15-17,Male,Urban,North,1992,57808
2-4,Female,Rural,East,1992,59043
5-9,Female,Rural,East,1992,109817
10-14,Female,Rural,East,1992,122829
15-17,Female,Rural,East,1992,70575
2-4,Male,Rural,East,1992,60425
5-9,Male,Rural,East,1992,115844
10-14,Male,Rural,East,1992,125131
15-17,Male,Rural,East,1992,66022
2-4,Female,Urban,East,1992,20125
5-9,Female,Urban,East,1992,37728
10-14,Female,Urban,East,1992,41522
15-17,Female,Urban,East,1992,26878
2-4,Male,Urban,East,1992,21726
5-9,Male,Urban,East,1992,42890
10-14,Male,Urban,East,1992,43261
15-17,Male,Urban,East,1992,27598
2-4,Female,Rural,Northeast,1992,478969
5-9,Female,Rural,Northeast,1992,933682
10-14,Female,Rural,Northeast,1992,947803
15-17,Female,Rural,Northeast,1992,517562
2-4,Male,Rural,Northeast,1992,506610
5-9,Male,Rural,Northeast,1992,970606
10-14,Male,Rural,Northeast,1992,1011962
15-17,Male,Rural,Northeast,1992,555066
2-4,Female,Urban,Northeast,1992,63837
5-9,Female,Urban,Northeast,1992,116687
10-14,Female,Urban,Northeast,1992,139589
15-17,Female,Urban,Northeast,1992,89929
2-4,Male,Urban,Northeast,1992,65631
5-9,Male,Urban,Northeast,1992,127056
10-14,Male,Urban,Northeast,1992,148032
15-17,Male,Urban,Northeast,1992,102734
2-4,Female,Rural,South,1992,173255
5-9,Female,Rural,South,1992,311697
10-14,Female,Rural,South,1992,334215
15-17,Female,Rural,South,1992,183873
2-4,Male,Rural,South,1992,183420
5-9,Male,Rural,South,1992,328458
10-14,Male,Rural,South,1992,342821
15-17,Male,Rural,South,1992,192500
2-4,Female,Urban,South,1992,36815
5-9,Female,Urban,South,1992,64931
10-14,Female,Urban,South,1992,72940
15-17,Female,Urban,South,1992,46691
2-4,Male,Urban,South,1992,37616
5-9,Male,Urban,South,1992,70532
10-14,Male,Urban,South,1992,71314
15-17,Male,Urban,South,1992,45908
2-4,Female,Rural,West,1992,52416
5-9,Female,Rural,West,1992,117348
10-14,Female,Rural,West,1992,119007
15-17,Female,Rural,West,1992,69102
2-4,Male,Rural,West,1992,61047
5-9,Male,Rural,West,1992,107087
10-14,Male,Rural,West,1992,120146
15-17,Male,Rural,West,1992,67807
2-4,Female,Urban,West,1992,20619
5-9,Female,Urban,West,1992,40038
10-14,Female,Urban,West,1992,47447
15-17,Female,Urban,West,1992,23865
2-4,Male,Urban,West,1992,21028
5-9,Male,Urban,West,1992,41095
10-14,Male,Urban,West,1992,42976
15-17,Male,Urban,West,1992,23595
2-4,Female,Rural,Bangkok,1993,0
5-9,Female,Rural,Bangkok,1993,0
10-14,Female,Rural,Bangkok,1993,0
15-17,Female,Rural,Bangkok,1993,0
2-4,Male,Rural,Bangkok,1993,0
5-9,Male,Rural,Bangkok,1993,0
10-14,Male,Rural,Bangkok,1993,0
15-17,Male,Rural,Bangkok,1993,0
2-4,Female,Urban,Bangkok,1993,107556
5-9,Female,Urban,Bangkok,1993,189709
10-14,Female,Urban,Bangkok,1993,227556
15-17,Female,Urban,Bangkok,1993,179364
2-4,Male,Urban,Bangkok,1993,115214
5-9,Male,Urban,Bangkok,1993,204045
10-14,Male,Urban,Bangkok,1993,232982
15-17,Male,Urban,Bangkok,1993,161156
2-4,Female,Rural,Periphery,1993,34022
5-9,Female,Rural,Periphery,1993,64428
10-14,Female,Rural,Periphery,1993,69619
15-17,Female,Rural,Periphery,1993,46115
2-4,Male,Rural,Periphery,1993,34495
5-9,Male,Rural,Periphery,1993,66834
10-14,Male,Rural,Periphery,1993,72259
15-17,Male,Rural,Periphery,1993,41929
2-4,Female,Urban,Periphery,1993,30708
5-9,Female,Urban,Periphery,1993,49831
10-14,Female,Urban,Periphery,1993,54488
15-17,Female,Urban,Periphery,1993,39482
2-4,Male,Urban,Periphery,1993,30384
5-9,Male,Urban,Periphery,1993,55897
10-14,Male,Urban,Periphery,1993,61711
15-17,Male,Urban,Periphery,1993,37048
2-4,Female,Rural,Central,1993,46209
5-9,Female,Rural,Central,1993,89981
10-14,Female,Rural,Central,1993,92394
15-17,Female,Rural,Central,1993,53690
2-4,Male,Rural,Central,1993,47400
5-9,Male,Rural,Central,1993,88059
10-14,Male,Rural,Central,1993,96825
15-17,Male,Rural,Central,1993,54913
2-4,Female,Urban,Central,1993,14326
5-9,Female,Urban,Central,1993,24306
10-14,Female,Urban,Central,1993,27441
15-17,Female,Urban,Central,1993,16104
2-4,Male,Urban,Central,1993,14584
5-9,Male,Urban,Central,1993,25783
10-14,Male,Urban,Central,1993,25701
15-17,Male,Urban,Central,1993,16781
2-4,Female,Rural,North,1993,204969
5-9,Female,Rural,North,1993,385409
10-14,Female,Rural,North,1993,410736
15-17,Female,Rural,North,1993,240340
2-4,Male,Rural,North,1993,225077
5-9,Male,Rural,North,1993,400340
10-14,Male,Rural,North,1993,425535
15-17,Male,Rural,North,1993,252176
2-4,Female,Urban,North,1993,42781
5-9,Female,Urban,North,1993,80501
10-14,Female,Urban,North,1993,86584
15-17,Female,Urban,North,1993,55429
2-4,Male,Urban,North,1993,43076
5-9,Male,Urban,North,1993,81324
10-14,Male,Urban,North,1993,88124
15-17,Male,Urban,North,1993,56459
2-4,Female,Rural,East,1993,61123
5-9,Female,Rural,East,1993,111352
10-14,Female,Rural,East,1993,124406
15-17,Female,Rural,East,1993,72237
2-4,Male,Rural,East,1993,63608
5-9,Male,Rural,East,1993,116784
10-14,Male,Rural,East,1993,126798
15-17,Male,Rural,East,1993,67904
2-4,Female,Urban,East,1993,20023
5-9,Female,Urban,East,1993,38222
10-14,Female,Urban,East,1993,40761
15-17,Female,Urban,East,1993,25994
2-4,Male,Urban,East,1993,22525
5-9,Male,Urban,East,1993,43408
10-14,Male,Urban,East,1993,43436
15-17,Male,Urban,East,1993,27763
2-4,Female,Rural,Northeast,1993,480037
5-9,Female,Rural,Northeast,1993,920765
10-14,Female,Rural,Northeast,1993,938150
15-17,Female,Rural,Northeast,1993,519023
2-4,Male,Rural,Northeast,1993,506303
5-9,Male,Rural,Northeast,1993,967712
10-14,Male,Rural,Northeast,1993,992050
15-17,Male,Rural,Northeast,1993,555468
2-4,Female,Urban,Northeast,1993,64304
5-9,Female,Urban,Northeast,1993,115266
10-14,Female,Urban,Northeast,1993,137619
15-17,Female,Urban,Northeast,1993,88937
2-4,Male,Urban,Northeast,1993,66328
5-9,Male,Urban,Northeast,1993,127098
10-14,Male,Urban,Northeast,1993,145918
15-17,Male,Urban,Northeast,1993,103184
2-4,Female,Rural,South,1993,175905
5-9,Female,Rural,South,1993,309534
10-14,Female,Rural,South,1993,333270
15-17,Female,Rural,South,1993,185042
2-4,Male,Rural,South,1993,185170
5-9,Male,Rural,South,1993,327316
10-14,Male,Rural,South,1993,340870
15-17,Male,Rural,South,1993,191233
2-4,Female,Urban,South,1993,36762
5-9,Female,Urban,South,1993,65945
10-14,Female,Urban,South,1993,73115
15-17,Female,Urban,South,1993,47557
2-4,Male,Urban,South,1993,37727
5-9,Male,Urban,South,1993,70756
10-14,Male,Urban,South,1993,70802
15-17,Male,Urban,South,1993,45674
2-4,Female,Rural,West,1993,53694
5-9,Female,Rural,West,1993,117573
10-14,Female,Rural,West,1993,119842
15-17,Female,Rural,West,1993,69222
2-4,Male,Rural,West,1993,62302
5-9,Male,Rural,West,1993,110610
10-14,Male,Rural,West,1993,119677
15-17,Male,Rural,West,1993,68991
2-4,Female,Urban,West,1993,20822
5-9,Female,Urban,West,1993,38544
10-14,Female,Urban,West,1993,45900
15-17,Female,Urban,West,1993,22878
2-4,Male,Urban,West,1993,20862
5-9,Male,Urban,West,1993,39886
10-14,Male,Urban,West,1993,41639
15-17,Male,Urban,West,1993,23158
2-4,Female,Rural,Bangkok,1994,0
5-9,Female,Rural,Bangkok,1994,0
10-14,Female,Rural,Bangkok,1994,0
15-17,Female,Rural,Bangkok,1994,0
2-4,Male,Rural,Bangkok,1994,0
5-9,Male,Rural,Bangkok,1994,0
10-14,Male,Rural,Bangkok,1994,0
15-17,Male,Rural,Bangkok,1994,0
2-4,Female,Urban,Bangkok,1994,108108
5-9,Female,Urban,Bangkok,1994,187248
10-14,Female,Urban,Bangkok,1994,223876
15-17,Female,Urban,Bangkok,1994,173885
2-4,Male,Urban,Bangkok,1994,115017
5-9,Male,Urban,Bangkok,1994,202531
10-14,Male,Urban,Bangkok,1994,227434
15-17,Male,Urban,Bangkok,1994,157255
2-4,Female,Rural,Periphery,1994,34269
5-9,Female,Rural,Periphery,1994,63587
10-14,Female,Rural,Periphery,1994,68190
15-17,Female,Rural,Periphery,1994,46004
2-4,Male,Rural,Periphery,1994,34584
5-9,Male,Rural,Periphery,1994,66991
10-14,Male,Rural,Periphery,1994,71363
15-17,Male,Rural,Periphery,1994,42566
2-4,Female,Urban,Periphery,1994,31784
5-9,Female,Urban,Periphery,1994,50392
10-14,Female,Urban,Periphery,1994,54125
15-17,Female,Urban,Periphery,1994,38953
2-4,Male,Urban,Periphery,1994,31532
5-9,Male,Urban,Periphery,1994,57559
10-14,Male,Urban,Periphery,1994,61661
15-17,Male,Urban,Periphery,1994,37881
2-4,Female,Rural,Central,1994,46420
5-9,Female,Rural,Central,1994,87350
10-14,Female,Rural,Central,1994,89281
15-17,Female,Rural,Central,1994,52939
2-4,Male,Rural,Central,1994,46827
5-9,Male,Rural,Central,1994,86968
10-14,Male,Rural,Central,1994,95014
15-17,Male,Rural,Central,1994,55066
2-4,Female,Urban,Central,1994,14570
5-9,Female,Urban,Central,1994,23503
10-14,Female,Urban,Central,1994,27629
15-17,Female,Urban,Central,1994,16065
2-4,Male,Urban,Central,1994,14773
5-9,Male,Urban,Central,1994,25584
10-14,Male,Urban,Central,1994,24504
15-17,Male,Urban,Central,1994,16470
2-4,Female,Rural,North,1994,205714
5-9,Female,Rural,North,1994,385644
10-14,Female,Rural,North,1994,409565
15-17,Female,Rural,North,1994,240495
2-4,Male,Rural,North,1994,227299
5-9,Male,Rural,North,1994,399631
10-14,Male,Rural,North,1994,421905
15-17,Male,Rural,North,1994,252179
2-4,Female,Urban,North,1994,41634
5-9,Female,Urban,North,1994,79470
10-14,Female,Urban,North,1994,83579
15-17,Female,Urban,North,1994,54744
2-4,Male,Urban,North,1994,42612
5-9,Male,Urban,North,1994,79598
10-14,Male,Urban,North,1994,86093
15-17,Male,Urban,North,1994,55437
2-4,Female,Rural,East,1994,62872
5-9,Female,Rural,East,1994,112515
10-14,Female,Rural,East,1994,125554
15-17,Female,Rural,East,1994,73602
2-4,Male,Rural,East,1994,66345
5-9,Male,Rural,East,1994,117416
10-14,Male,Rural,East,1994,128038
15-17,Male,Rural,East,1994,69503
2-4,Female,Urban,East,1994,20053
5-9,Female,Urban,East,1994,38855
10-14,Female,Urban,East,1994,40289
15-17,Female,Urban,East,1994,25341
2-4,Male,Urban,East,1994,23344
5-9,Male,Urban,East,1994,44027
10-14,Male,Urban,East,1994,43772
15-17,Male,Urban,East,1994,28022
2-4,Female,Rural,Northeast,1994,479657
5-9,Female,Rural,Northeast,1994,906621
10-14,Female,Rural,Northeast,1994,927075
15-17,Female,Rural,Northeast,1994,518874
2-4,Male,Rural,Northeast,1994,504632
5-9,Male,Rural,Northeast,1994,962347
10-14,Male,Rural,Northeast,1994,971643
15-17,Male,Rural,Northeast,1994,554166
2-4,Female,Urban,Northeast,1994,65053
5-9,Female,Urban,Northeast,1994,114648
10-14,Female,Urban,Northeast,1994,136485
15-17,Female,Urban,Northeast,1994,88284
2-4,Male,Urban,Northeast,1994,67287
5-9,Male,Urban,Northeast,1994,127733
10-14,Male,Urban,Northeast,1994,144614
15-17,Male,Urban,Northeast,1994,103708
2-4,Female,Rural,South,1994,177890
5-9,Female,Rural,South,1994,306982
10-14,Female,Rural,South,1994,331684
15-17,Female,Rural,South,1994,185743
2-4,Male,Rural,South,1994,186350
5-9,Male,Rural,South,1994,325645
10-14,Male,Rural,South,1994,338418
15-17,Male,Rural,South,1994,189758
2-4,Female,Urban,South,1994,36870
5-9,Female,Urban,South,1994,67124
10-14,Female,Urban,South,1994,73519
15-17,Female,Urban,South,1994,48458
2-4,Male,Urban,South,1994,37974
5-9,Male,Urban,South,1994,71194
10-14,Male,Urban,South,1994,70599
15-17,Male,Urban,South,1994,45593
2-4,Female,Rural,West,1994,54741
5-9,Female,Rural,West,1994,117483
10-14,Female,Rural,West,1994,120313
15-17,Female,Rural,West,1994,69178
2-4,Male,Rural,West,1994,63293
5-9,Male,Rural,West,1994,113531
10-14,Male,Rural,West,1994,119020
15-17,Male,Rural,West,1994,69919
2-4,Female,Urban,West,1994,21005
5-9,Female,Urban,West,1994,37222
10-14,Female,Urban,West,1994,44499
15-17,Female,Urban,West,1994,22012
2-4,Male,Urban,West,1994,20722
5-9,Male,Urban,West,1994,38811
10-14,Male,Urban,West,1994,40452
15-17,Male,Urban,West,1994,22783
2-4,Female,Rural,Bangkok,1995,0
5-9,Female,Rural,Bangkok,1995,0
10-14,Female,Rural,Bangkok,1995,0
15-17,Female,Rural,Bangkok,1995,0
2-4,Male,Rural,Bangkok,1995,0
5-9,Male,Rural,Bangkok,1995,0
10-14,Male,Rural,Bangkok,1995,0
15-17,Male,Rural,Bangkok,1995,0
2-4,Female,Urban,Bangkok,1995,108468
5-9,Female,Urban,Bangkok,1995,184895
10-14,Female,Urban,Bangkok,1995,220335
15-17,Female,Urban,Bangkok,1995,168885
2-4,Male,Urban,Bangkok,1995,114721
5-9,Male,Urban,Bangkok,1995,200981
10-14,Male,Urban,Bangkok,1995,222295
15-17,Male,Urban,Bangkok,1995,153829
2-4,Female,Rural,Periphery,1995,34489
5-9,Female,Rural,Periphery,1995,62841
10-14,Female,Rural,Periphery,1995,66938
15-17,Female,Rural,Periphery,1995,45963
2-4,Male,Rural,Periphery,1995,34675
5-9,Male,Rural,Periphery,1995,67116
10-14,Male,Rural,Periphery,1995,70588
15-17,Male,Rural,Periphery,1995,43214
2-4,Female,Urban,Periphery,1995,32807
5-9,Female,Urban,Periphery,1995,51079
10-14,Female,Urban,Periphery,1995,54028
15-17,Female,Urban,Periphery,1995,38683
2-4,Male,Urban,Periphery,1995,32627
5-9,Male,Urban,Periphery,1995,59166
10-14,Male,Urban,Periphery,1995,61801
15-17,Male,Urban,Periphery,1995,38808
2-4,Female,Rural,Central,1995,46487
5-9,Female,Rural,Central,1995,84793
10-14,Female,Rural,Central,1995,86316
15-17,Female,Rural,Central,1995,52157
2-4,Male,Rural,Central,1995,46219
5-9,Male,Rural,Central,1995,85805
10-14,Male,Rural,Central,1995,93188
15-17,Male,Rural,Central,1995,55088
2-4,Female,Urban,Central,1995,14823
5-9,Female,Urban,Central,1995,22888
10-14,Female,Urban,Central,1995,27877
15-17,Female,Urban,Central,1995,16089
